,lga_id,local_gov_name
0,124,Perth (C)
1,126,South Perth (C)
2,104,Gosnells (C)
3,113,Belmont (C)
4,119,Melville (C)
5,131,Joondalup (C)
6,118,Fremantle (C)
7,114,Canning (C)
8,814,Karratha (C)
10,129,Victoria Park (T)
11,105,Kwinana (C)
12,610,Ravensthorpe
13,125,Stirling (C)
14,107,Rockingham (C)
18,203,Bridgetown - Greenbushes
19,130,Vincent (C)
20,109,Swan (C)
26,110,Wanneroo (C)
33,103,Cockburn (C)
41,101,Armadale (C)
44,505,Greater Geraldton (C)
49,122,Nedlands (C)
56,208,Dardanup
58,128,Cambridge (T)
60,212,Mandurah (C)
68,001,Broome
80,112,Bayswater (C)
83,111,Bassendean (T)
92,102,Kalamunda
94,204,Bunbury (C)
102,803,Carnarvon
105,115,Claremont (T)
127,507,Gingin
129,813,Port Hedland (T)
138,108,Serpentine - Jarrahdale
148,317,Woodanilling
162,106,Mundaring
189,121,Mosman Park (T)
224,218,Boyup Brook
232,127,Subiaco (C)
236,116,Cottesloe (T)
237,418,Narrogin
246,206,Capel
249,605,Kalgoorlie - Boulder (C)
252,421,Northam
266,410,Kondinin
271,217,Donnybrook - Balingup
276,207,Collie
296,504,Dandaragan
304,305,Denmark
309,205,Busselton (C)
324,302,Albany (C)
354,602,Coolgardie
364,211,Harvey
367,304,Cranbrook
369,508,Irwin
431,201,Augusta - Margaret River
454,213,Manjimup
510,117,East Fremantle (T)
529,215,Murray
532,209,Waroona
533,004,Wyndham - East Kimberley
611,812,East Pilbara
616,511,Morawa
642,003,Derby - West Kimberley
649,415,Mount Marshall
650,214,Boddington
660,414,Merredin
667,404,Corrigin
670,604,Esperance
678,311,Lake Grace
715,312,Plantagenet
716,427,Wandering
767,603,Dundas
905,123,Peppermint Grove
912,516,Chapman Valley
1024,804,Shark Bay
1053,806,Exmouth
1068,318,Jerramungup
1091,316,West Arthur
1223,607,Laverton
1348,517,Victoria Plains
1395,502,Chittering
1397,308,Katanning
1404,412,Kulin
1499,309,Kent
1582,405,Cuballing
1845,611,Yilgarn
2118,402,Brookton
2210,501,Carnamah
2229,002,Halls Creek
2231,428,Westonia
2283,513,Northampton
2418,510,Moora
2457,509,Mingenew
2633,703,Meekatharra
2656,430,Williams
2874,408,Goomalling
2916,401,Beverley
3092,426,Toodyay
3235,811,Ashburton
3261,433,York
3331,216,Nannup
3436,519,Coorow
3483,409,Kellerberrin
3494,303,Broomehill - Tambellup
3570,406,Cunderdin
3750,417,Narembeen
4061,407,Dowerin
4561,431,Wyalkatchem
4672,315,Wagin
4750,609,Menzies
5231,310,Kojonup
5239,416,Mukinbudin
5289,403,Bruce Rock
5602,150,Kings Park
5651,422,Nungarin
5832,612,Ngaanyatjarraku
6729,518,Wongan - Ballidu
7218,423,Pingelly
7538,608,Leonora
7800,429,Wickepin
8128,704,Mount Magnet
8145,503,Dalwallinu
8727,307,Gnowangerup
9318,306,Dumbleyung
10296,514,Perenjori
12109,424,Quairading
13565,413,Trayning
13950,515,Three Springs
14670,707,Yalgoo
14962,705,Murchison
16792,155,Rottnest
18763,702,Cue
19023,706,Wiluna
22839,425,Tammin
25960,411,Koorda
42996,701,Sandstone
61081,805,Upper Gascoyne
129700,,
